key,en,zh-Hant,zh-Hans,ja,ko,es,fr,de,pt,vi,ar,ru
data.armorSet.Calmwaters.name,Calmwaters,江凝,,,고요한 물결,,,,,,,
data.armorSet.Formbend.name,Formbend,易相,,,역상,,,,,,,
data.armorSet.Moonflare.name,Moonflare,,,,월계,,,,,,,
data.arsenal.General.name,General,通用,,,일반,,,,,,,
data.bowRingSet.None.name,None,無,,,없음,,,,,,,
data.bowRingSet.Precision.name,Precision,精準,,,정확도,,,,,,,
data.breakthrough.16.name,16,,,,,,,,,,,
data.breakthrough.17.name,17,,,,,,,,,,,
data.buff.bamboocutKite.Cognition.description,"Each stack grants Martial Art Effects 2 of every attribute penetration. Heavenwill Gauntlets Falcon effects and Vile Condemned effects gain another 2 per stack. At Empirical Edge T6, Physical Penetration increases by the same amount.",,,,,,,,,,,
data.buff.bamboocutKite.Cognition.name,Cognition,格物,,,격물,,,,,,,
data.buff.bamboocutKite.Cognition.shortName,Cog,格物,,,격물,,,,,,,
data.buff.bamboocutKite.Etherwrath.description,"Increases all attack values by 1.2% per stack. At five stacks, Martial Art Effects gain 6 of every penetration type.",,,,,,,,,,,
data.buff.bamboocutKite.Etherwrath.name,Etherwrath,,,,정수,,,,,,,
data.buff.bamboocutKite.Etherwrath.shortName,EW,,,,정수,,,,,,,
data.buff.bamboocutKite.HeavensUnity.description,Increases Celestial Mandate's Heaven's Will generation from 0.1 to 0.3.,,,,,,,,,,,
data.buff.bamboocutKite.HeavensUnity.name,Heaven's Unity,,,,,,,,,,,
data.buff.bamboocutKite.HeavensUnity.shortName,Unity,,,,,,,,,,,
data.buff.bamboocutWind.Disintegration.description,Increase physical penetraion by 5 and critical damage by 5% per stack.,每層增加 5 點外功穿透及 5% 會心傷害。,,,"붕괴가 중첩될 때마다 자신의 외공 관통이 5pt 증가하고 치명타 피해 보너스가 5% 증가하며, 최대 5회까지 중첩된다.",,,,,,,
data.buff.bamboocutWind.Disintegration.name,Disintegration,崩解,,,붕괴,,,,,,,
data.buff.bamboocutWind.Disintegration.shortName,Dis,崩,,,붕괴,,,,,,,
data.buff.bellstrikeUmbra.Concentration.description,Increases Affinity DMG by 10%. Insightful Strike T3 also increases Direct Affinity Rate while active.,,,,,,,,,,,
data.buff.bellstrikeUmbra.Concentration.name,Concentration,,,,,,,,,,,
data.buff.bellstrikeUmbra.Concentration.shortName,Conc,,,,,,,,,,,
data.buff.general.Bloom.description,The spring outcome of Seasonal Edge.,,,,,,,,,,,
data.buff.general.Bloom.name,Bloom,春,,,,,,,,,,
data.buff.general.Bloom.shortName,Bloom,春,,,,,,,,,,
data.buff.general.Flare.description,"Increases All Martial Arts by 10%, plus another 10% above 75% HP.",,,,,,,,,,,
data.buff.general.Flare.name,Flare,夏,,,,,,,,,,
data.buff.general.Flare.shortName,Flare,夏,,,,,,,,,,
data.buff.general.Frost.description,The winter outcome of Seasonal Edge.,,,,,,,,,,,
data.buff.general.Frost.name,Frost,冬,,,,,,,,,,
data.buff.general.Frost.shortName,Frost,冬,,,,,,,,,,
data.buff.general.Hawkwing.description,Increases physical attack by 2% per stack.,,,,"외공 공격력이 2% 증가하며, 최대 5중첩까지 쌓인다.",,,,,,,
data.buff.general.Hawkwing.name,Hawkwing,,,,속공,,,,,,,
data.buff.general.Hawkwing.shortName,Hawk,,,,속공,,,,,,,
data.buff.general.Revelry.description,Increases damage dealt by 20%.,,,,자신이 주는 피해가 20% 증가한다.,,,,,,,
data.buff.general.Revelry.name,Revelry,,,,승환첩,,,,,,,
data.buff.general.Revelry.shortName,Revelry,,,,승환첩,,,,,,,
data.buff.general.SeasonalEdgeCooldown.description,Seasonal Edge cannot trigger while this effect is active.,,,,,,,,,,,
data.buff.general.SeasonalEdgeCooldown.name,Seasonal Edge Cooldown,,,,,,,,,,,
data.buff.general.SeasonalEdgeCooldown.shortName,SE CD,,,,,,,,,,,
data.buff.general.Shield.description,A general player shield.,通用角色護盾。,,,보호막,,,,,,,
data.buff.general.Shield.name,Shield,護盾,,,보호막,,,,,,,
data.buff.general.Shield.shortName,Shield,盾,,,보호막,,,,,,,
data.buff.general.Turnaround.description,"Refunds 30% of a Mystic skill's Vitality cost, up to 10 Vitality.",,,,,,,,,,,
data.buff.general.Turnaround.name,Turnaround,,,,,,,,,,,
data.buff.general.Turnaround.shortName,Turn,,,,,,,,,,,
data.buff.general.Yield.description,Increases Mystic Skill damage by 10% and restores 2 Vitality per second.,,,,,,,,,,,
data.buff.general.Yield.name,Yield,秋,,,,,,,,,,
data.buff.general.Yield.shortName,Yield,秋,,,,,,,,,,
data.buff.general.YiRiver.description,Increase damage by 1% and physical penetration by 2 per stack.,每層增加 1% 傷害及 2 點外功穿透。,,,"중첩당 외공 관통이 2pt를 증가하고, 피해 및 치유량 1% 증가한다.",,,,,,,
data.buff.general.YiRiver.name,Yi River,易水,,,결의의 노래,,,,,,,
data.buff.general.YiRiver.shortName,Yi,易,,,결의,,,,,,,
data.buff.mystic.DragonHeadTide.description,Increases damage by 0.45% per percentage point of HP missing at hit time.,命中時，每損失 1% 氣血，傷害增加 0.45%。,,,"잃은 기혈에 따른 스킬 피해 증가 효과가 더욱 강화되어, 최대 45%까지 상승한다.",,,,,,,
data.buff.mystic.DragonHeadTide.name,Dragon Head - Tide,葉龍驤首・疊浪,,,용의 진노 - 겹쳐진 파도,,,,,,,
data.buff.mystic.DragonHeadTide.shortName,DHT,浪龍,,,용진,,,,,,,
data.buff.mystic.EnhanceDrunkenPoet.description,Each stack increases Drunken Poet's fifth hit damage by 20%.,,,,중첩당 태백취권의 다섯 번째 타격 피해가 20% 증가한다.,,,,,,,
data.buff.mystic.EnhanceDrunkenPoet.name,Enhanced Drunken Poet,,,,태백 취권,,,,,,,
data.buff.mystic.EnhanceDrunkenPoet.shortName,EDP,,,,취권,,,,,,,
data.buff.mystic.Flute.description,Buff damage by the distance to the target.,根據與目標的距離提高傷害。,,,음파 속의 적을 공격할 때 거리 차이에 따라 피해가 증가한다.,,,,,,,
data.buff.mystic.Flute.name,Flute,簫,,,격랑의 파도,,,,,,,
data.buff.mystic.Flute.shortName,Flu,簫,,,피리,,,,,,,
data.buff.mystic.Intoxicated.description,Allow using Drunken Poet or Dragon's Breath.,允許使用醉詩或龍息。,,,신룡의 화염과 태백취권을 사용할 수 있다.,,,,,,,
data.buff.mystic.Intoxicated.name,Intoxicated,醉酒,,,취기,,,,,,,
data.buff.mystic.Intoxicated.shortName,Int,醉,,,취기,,,,,,,
data.buff.mystic.Mystery.description,From Ghostly Steps,來自鬼步。,,,음양의 조화,,,,,,,
data.buff.mystic.Mystery.name,Mystery,迷蹤,,,미궁,,,,,,,
data.buff.mystic.Mystery.shortName,Mys,迷,,,미궁,,,,,,,
data.buff.mystic.MysteryDMGBoost.description,From Ghostly Steps,來自鬼步。,,,음양의 조화,,,,,,,
data.buff.mystic.MysteryDMGBoost.name,Mystery DMG Boost,迷蹤增傷,,,음양 피해 증가,,,,,,,
data.buff.mystic.MysteryDMGBoost.shortName,MDMG,迷增,,,음양 피해 증가,,,,,,,
data.buff.mystic.MysteryUmbra.description,From Ghostly Steps - Umbra,來自鬼步・暗影變體。,,,음양의 조화 - 그림자,,,,,,,
data.buff.mystic.MysteryUmbra.name,Mystery - Umbra,迷蹤・影,,,미궁 - 그림자,,,,,,,
data.buff.mystic.MysteryUmbra.shortName,MyM,迷影,,,미궁 - 그림자,,,,,,,
data.buff.mystic.SurgingWaves.description,Boosts Dragon Head - Tide damage by 1.25% per stack. Doubles its base damage against an Exhausted target.,每層使龍首・潮的傷害提高 1.25%。對力竭目標時，其基礎傷害加倍。,,,중첩당 용의 진노 피해가 1.25% 증가한다. 탈진한 대상에게는 기본 피해가 두 배로 증가한다.,,,,,,,
data.buff.mystic.SurgingWaves.name,Surging Waves,滄浪勁,,,격랑의 파도,,,,,,,
data.buff.mystic.SurgingWaves.shortName,SW,浪,,,격랑의 파도,,,,,,,
data.buff.silkbindDeluge.FloatingGrace.description,Increases damage dealt by 10%.,,,,10%의 피해 증가 효과를 부여한다,,,,,,,
data.buff.silkbindDeluge.FloatingGrace.name,Floating Grace,一念浮生,,,소생의 향,,,,,,,
data.buff.silkbindDeluge.FloatingGrace.shortName,FG,,,,소생의 향,,,,,,,
data.buff.silkbindDeluge.FloatingGraceDeluge.description,Increases damage dealt by 24%.,,,,24%의 피해 증가 효과를 부여한다,,,,,,,
data.buff.silkbindDeluge.FloatingGraceDeluge.name,Floating Grace - Deluge,一念浮生 (霖),,,소생의 향 (림),,,,,,,
data.buff.silkbindDeluge.FloatingGraceDeluge.shortName,FGD,,,,소생의 향,,,,,,,
data.buff.stonesplitMight.Breakthrough.description,Increases Charged Skill damage by 42%.,蓄力技傷害提高 42%。,,,차지 스킬 피해가 42% 증가한다.,,,,,,,
data.buff.stonesplitMight.Breakthrough.name,Breakthrough,破陣,,,파진,,,,,,,
data.buff.stonesplitMight.Breakthrough.shortName,Breakthrough,破,,,파진,,,,,,,
data.buff.stonesplitMight.Drumbeat.description,Increases Charged Skill damage by 15%. Converted into Breakthrough by Predator's Shield.,蓄力技傷害提高 15%。使用掠食者之盾後轉化為突破。,,,차지 스킬 피해가 15% 증가한다. Predator's Shield 사용 시 파진으로 전환된다.,,,,,,,
data.buff.stonesplitMight.Drumbeat.name,Drumbeat,摧鼓,,,취고,,,,,,,
data.buff.stonesplitMight.Drumbeat.shortName,Drum,鼓,,,취고,,,,,,,
data.buff.stonesplitMight.HardenedFoe.description,Increases damage by 10% after a shield breaks.,護盾破裂後，傷害提高 10%。,,,보호막이 파괴되면 주는 피해 가 10% 증가한다.,,,,,,,
data.buff.stonesplitMight.HardenedFoe.name,Hardened Foe,硬荏,,,강단,,,,,,,
data.buff.stonesplitMight.HardenedFoe.shortName,Hardened,荏,,,강단,,,,,,,
